date,cases
2020-05-11,72
2020-05-12,60
2020-05-13,64
2020-05-14,44
2020-05-15,47
2020-05-16,25
2020-05-17,26
2020-05-18,38
2020-05-19,36
2020-05-20,37
2020-05-21,16
2020-05-22,28
2020-05-23,12
2020-05-24,16
2020-05-25,34
2020-05-26,29
2020-05-27,9
2020-05-28,23
2020-05-29,18
2020-05-30,10
2020-05-31,8
2020-06-01,12
2020-06-02,12
2020-06-03,22
2020-06-04,11
2020-06-05,12
2020-06-06,10
2020-06-07,3
2020-06-08,8
2020-06-09,5
2020-06-10,3
2020-06-11,7
2020-06-12,10
2020-06-13,2
2020-06-14,5
2020-06-15,13
2020-06-16,5
2020-06-17,3
2020-06-18,6
2020-06-19,0
2020-06-20,2
2020-06-21,10
2020-06-22,4
2020-06-23,3
2020-06-24,11
2020-06-25,6
2020-06-26,3
2020-06-27,2
2020-06-28,7
2020-06-29,12
2020-06-30,7
2020-07-01,2
2020-07-02,7
2020-07-03,2
2020-07-04,2
2020-07-05,2
2020-07-06,2
2020-07-07,0
2020-07-08,0
2020-07-09,3
2020-07-10,1
2020-07-11,0
2020-07-12,3
2020-07-13,3
2020-07-14,3
2020-07-15,4
2020-07-16,5
2020-07-17,5
2020-07-18,2
2020-07-19,5
2020-07-20,4
2020-07-21,7
2020-07-22,6
2020-07-23,1
2020-07-24,8
2020-07-25,4
2020-07-26,4
2020-07-27,9
2020-07-28,5
2020-07-29,8
2020-07-30,4
2020-07-31,13
2020-08-01,8
2020-08-02,7
2020-08-03,26
2020-08-04,19
2020-08-05,18
2020-08-06,15
2020-08-07,11
2020-08-08,6
2020-08-09,23
2020-08-10,12
2020-08-11,23
2020-08-12,16
2020-08-13,13
2020-08-14,17
2020-08-15,11
2020-08-16,31
2020-08-17,20
2020-08-18,20
2020-08-19,34
2020-08-20,17
2020-08-21,12
2020-08-22,8
2020-08-23,7
2020-08-24,12
2020-08-25,9
2020-08-26,14
2020-08-27,21
2020-08-28,13
2020-08-29,7
2020-08-30,11
2020-08-31,19
2020-09-01,17
2020-09-02,15
2020-09-03,16
2020-09-04,24
2020-09-05,13
2020-09-06,17
2020-09-07,22
2020-09-08,19
2020-09-09,22
2020-09-10,17
2020-09-11,25
2020-09-12,14
2020-09-13,15
2020-09-14,15
2020-09-15,25
2020-09-16,25
2020-09-17,42
2020-09-18,42
2020-09-19,41
2020-09-20,41
2020-09-21,66
2020-09-22,52
2020-09-23,69
2020-09-24,67
2020-09-25,85
2020-09-26,47
2020-09-27,53
2020-09-28,84
2020-09-29,81
2020-09-30,94
2020-10-01,79
2020-10-02,79
2020-10-03,72
2020-10-04,78
2020-10-05,119
2020-10-06,129
2020-10-07,120
2020-10-08,136
2020-10-09,126
2020-10-10,53
2020-10-11,74
2020-10-12,135
2020-10-13,118
2020-10-14,87
2020-10-15,117
2020-10-16,119
2020-10-17,51
2020-10-18,85
2020-10-19,127
2020-10-20,90
2020-10-21,105
2020-10-22,111
2020-10-23,104
2020-10-24,66
2020-10-25,71
2020-10-26,133
2020-10-27,121
2020-10-28,121
2020-10-29,100
2020-10-30,123
2020-10-31,72
2020-11-01,93
2020-11-02,155
2020-11-03,149
2020-11-04,126
2020-11-05,138
2020-11-06,116
2020-11-07,94
2020-11-08,80
2020-11-09,162
2020-11-10,127
2020-11-11,147
2020-11-12,194
2020-11-13,167
2020-11-14,91
2020-11-15,110
2020-11-16,241
2020-11-17,258
2020-11-18,241
2020-11-19,320
2020-11-20,264
2020-11-21,180
2020-11-22,162
2020-11-23,261
2020-11-24,283
2020-11-25,299
2020-11-26,262
2020-11-27,242
2020-11-28,151
2020-11-29,158
2020-11-30,313
2020-12-01,221
2020-12-02,250
2020-12-03,281
2020-12-04,224
2020-12-05,153
2020-12-06,157
2020-12-07,284
2020-12-08,253
2020-12-09,269
2020-12-10,222
2020-12-11,236
2020-12-12,147
2020-12-13,169
2020-12-14,233
2020-12-15,195
2020-12-16,191
2020-12-17,151
2020-12-18,181
2020-12-19,125
2020-12-20,147
2020-12-21,202
2020-12-22,197
2020-12-23,146
2020-12-24,96
2020-12-25,95
2020-12-26,93
2020-12-27,111
2020-12-28,223
2020-12-29,164
2020-12-30,110
2020-12-31,137
2021-01-01,78
2021-01-02,127
2021-01-03,113
2021-01-04,204
2021-01-05,162
2021-01-06,94
2021-01-07,167
2021-01-08,147
2021-01-09,103
2021-01-10,126
2021-01-11,189
2021-01-12,127
2021-01-13,123
2021-01-14,122
2021-01-15,110
2021-01-16,99
2021-01-17,98
2021-01-18,256
2021-01-19,190
2021-01-20,212
2021-01-21,179
2021-01-22,196
2021-01-23,93
2021-01-24,153
2021-01-25,255
2021-01-26,212
2021-01-27,188
2021-01-28,229
2021-01-29,191
2021-01-30,134
2021-01-31,168
2021-02-01,296
2021-02-02,248
2021-02-03,264
2021-02-04,224
2021-02-05,215
2021-02-06,152
2021-02-07,172
2021-02-08,294
2021-02-09,241
2021-02-10,229
2021-02-11,236
2021-02-12,259
2021-02-13,192
2021-02-14,181
2021-02-15,362
2021-02-16,328
2021-02-17,337
2021-02-18,328
2021-02-19,306
2021-02-20,185
2021-02-21,218
2021-02-22,386
2021-02-23,382
2021-02-24,418
2021-02-25,361
2021-02-26,429
2021-02-27,268
2021-02-28,267
2021-03-01,479
2021-03-02,490
2021-03-03,477
2021-03-04,388
2021-03-05,420
2021-03-06,275
2021-03-07,257
2021-03-08,500
2021-03-09,503
2021-03-10,504
2021-03-11,477
2021-03-12,519
2021-03-13,329
2021-03-14,262
2021-03-15,507
2021-03-16,453
2021-03-17,416
2021-03-18,455
2021-03-19,444
2021-03-20,286
2021-03-21,289
2021-03-22,450
2021-03-23,452
2021-03-24,394
2021-03-25,356
2021-03-26,406
2021-03-27,199
2021-03-28,246
2021-03-29,378
2021-03-30,322
2021-03-31,335
2021-04-01,252
2021-04-02,223
2021-04-03,191
2021-04-04,205
2021-04-05,232
2021-04-06,306
2021-04-07,245
2021-04-08,211
2021-04-09,175
2021-04-10,138
2021-04-11,142
2021-04-12,220
2021-04-13,155
2021-04-14,169
2021-04-15,129
2021-04-16,130
2021-04-17,124
2021-04-18,88
2021-04-19,136
2021-04-20,145
2021-04-21,114
2021-04-22,138
2021-04-23,110
2021-04-24,84
2021-04-25,83
2021-04-26,121
2021-04-27,109
2021-04-28,147
2021-04-29,94
2021-04-30,97
2021-05-01,55
2021-05-02,81
2021-05-03,156
2021-05-04,114
2021-05-05,125
2021-05-06,112
2021-05-07,94
2021-05-08,69
2021-05-09,69
2021-05-10,137
2021-05-11,108
2021-05-12,146
2021-05-13,77
2021-05-14,86
2021-05-15,79
2021-05-16,56
2021-05-17,119
2021-05-18,110
2021-05-19,113
2021-05-20,103
2021-05-21,85
2021-05-22,55
2021-05-23,54
2021-05-24,109
2021-05-25,86
2021-05-26,77
2021-05-27,56
2021-05-28,63
2021-05-29,28
2021-05-30,49
2021-05-31,98
2021-06-01,76
2021-06-02,68
2021-06-03,66
2021-06-04,63
2021-06-05,40
2021-06-06,41
2021-06-07,86
2021-06-08,55
2021-06-09,36
2021-06-10,31
2021-06-11,34
2021-06-12,36
2021-06-13,33
2021-06-14,38
2021-06-15,41
2021-06-16,35
2021-06-17,47
2021-06-18,33
2021-06-19,26
2021-06-20,40
2021-06-21,56
2021-06-22,66
2021-06-23,74
2021-06-24,93
2021-06-25,126
2021-06-26,81
2021-06-27,58
2021-06-28,115
2021-06-29,136
2021-06-30,83
2021-07-01,93
2021-07-02,76
2021-07-03,59
2021-07-04,59
2021-07-05,98
2021-07-06,134
2021-07-07,157
2021-07-08,158
2021-07-09,173
2021-07-10,92
2021-07-11,100
2021-07-12,191
2021-07-13,204
2021-07-14,227
2021-07-15,216
2021-07-16,208
2021-07-17,139
2021-07-18,136
2021-07-19,213
2021-07-20,242
2021-07-21,228
2021-07-22,211
2021-07-23,241
2021-07-24,172
2021-07-25,185
2021-07-26,410
2021-07-27,329
2021-07-28,412
2021-07-29,358
2021-07-30,317
2021-07-31,235
2021-08-01,274
2021-08-02,442
2021-08-03,439
2021-08-04,391
2021-08-05,372
2021-08-06,324
2021-08-07,261
2021-08-08,311
2021-08-09,493
2021-08-10,495
2021-08-11,472
2021-08-12,411
2021-08-13,399
2021-08-14,233
2021-08-15,292
2021-08-16,375
2021-08-17,393
2021-08-18,361
2021-08-19,334
2021-08-20,347
2021-08-21,224
2021-08-22,267
2021-08-23,345
2021-08-24,330
2021-08-25,364
2021-08-26,303
2021-08-27,373
2021-08-28,251
2021-08-29,258
2021-08-30,353
2021-08-31,353
2021-09-01,331
2021-09-02,334
2021-09-03,252
2021-09-04,163
2021-09-05,173
2021-09-06,256
2021-09-07,257
2021-09-08,189
2021-09-09,205
2021-09-10,205
2021-09-11,164
2021-09-12,126
2021-09-13,213
2021-09-14,192
2021-09-15,162
2021-09-16,186
2021-09-17,142
2021-09-18,107
2021-09-19,118
2021-09-20,190
2021-09-21,165
2021-09-22,173
2021-09-23,164
2021-09-24,146
2021-09-25,129
2021-09-26,148
2021-09-27,221
2021-09-28,230
2021-09-29,251
2021-09-30,239
2021-10-01,188
2021-10-02,142
2021-10-03,164
2021-10-04,257
2021-10-05,310
2021-10-06,235
2021-10-07,191
2021-10-08,210
2021-10-09,148
2021-10-10,150
2021-10-11,226
2021-10-12,265
2021-10-13,232
2021-10-14,241
2021-10-15,239
2021-10-16,151
2021-10-17,160
2021-10-18,266
2021-10-19,229
2021-10-20,211
2021-10-21,273
2021-10-22,257
2021-10-23,178
2021-10-24,224
2021-10-25,348
2021-10-26,286
2021-10-27,254
2021-10-28,261
2021-10-29,270
2021-10-30,185
2021-10-31,216
2021-11-01,375
2021-11-02,328
2021-11-03,292
2021-11-04,293
2021-11-05,315
2021-11-06,246
2021-11-07,265
2021-11-08,424
2021-11-09,376
2021-11-10,365
2021-11-11,374
2021-11-12,371
2021-11-13,280
2021-11-14,254
2021-11-15,444
2021-11-16,429
2021-11-17,448
2021-11-18,453
2021-11-19,482
2021-11-20,290
2021-11-21,336
2021-11-22,498
2021-11-23,519
2021-11-24,424
2021-11-25,443
2021-11-26,461
2021-11-27,329
2021-11-28,365
2021-11-29,557
2021-11-30,569
2021-12-01,537
2021-12-02,504
2021-12-03,517
2021-12-04,352
2021-12-05,415
2021-12-06,456
2021-12-07,621
2021-12-08,637
2021-12-09,673
2021-12-10,712
2021-12-11,495
2021-12-12,588
2021-12-13,894
2021-12-14,831
2021-12-15,962
2021-12-16,925
2021-12-17,1025
2021-12-18,947
2021-12-19,1091
2021-12-20,1620
2021-12-21,1786
2021-12-22,2014
2021-12-23,2317
2021-12-24,1490
2021-12-25,1685
2021-12-26,1982
2021-12-27,4042
2021-12-28,4122
2021-12-29,4229
2021-12-30,4032
2021-12-31,3906
2022-01-01,2365
2022-01-02,2904
2022-01-03,4918
2022-01-04,5355
2022-01-05,5193
2022-01-06,4528
2022-01-07,5031
2022-01-08,3305
2022-01-09,4094
2022-01-10,5250
2022-01-11,4742
2022-01-12,4589
2022-01-13,4313
2022-01-14,4300
2022-01-15,3298
2022-01-16,3721
2022-01-17,4596
2022-01-18,4249
2022-01-19,4247
2022-01-20,3829
2022-01-21,3441
2022-01-22,2300
2022-01-23,2429
2022-01-24,3904
2022-01-25,3228
2022-01-26,2447
2022-01-27,2855
2022-01-28,2508
2022-01-29,1899
2022-01-30,1939
2022-01-31,3134
2022-02-01,2731
2022-02-02,2684
2022-02-03,2291
2022-02-04,2171
2022-02-05,1456
2022-02-06,1912
2022-02-07,2885
2022-02-08,2540
2022-02-09,2426
2022-02-10,2097
2022-02-11,1910
2022-02-12,1370
2022-02-13,1747
2022-02-14,2374
2022-02-15,2094
2022-02-16,2077
2022-02-17,1977
2022-02-18,1893
2022-02-19,1250
2022-02-20,1441
2022-02-21,2106
2022-02-22,1836
2022-02-23,1776
2022-02-24,1635
2022-02-25,1554
2022-02-26,1257
2022-02-27,1684
2022-02-28,2463
2022-03-01,1927
2022-03-02,2020
2022-03-03,1798
2022-03-04,1610
2022-03-05,1176
2022-03-06,1394
2022-03-07,2487
2022-03-08,2370
2022-03-09,2717
2022-03-10,2415
2022-03-11,2160
2022-03-12,1518
2022-03-13,1827
2022-03-14,3040
2022-03-15,2769
2022-03-16,2967
2022-03-17,2662
2022-03-18,2288
2022-03-19,1622
2022-03-20,2029
2022-03-21,3278
2022-03-22,3331
2022-03-23,3119
2022-03-24,2798
2022-03-25,2454
2022-03-26,1592
2022-03-27,1875
2022-03-28,3179
2022-03-29,2553
2022-03-30,2589
2022-03-31,2410
2022-04-01,1822
2022-04-02,1299
2022-04-03,1553
2022-04-04,2426
2022-04-05,2079
2022-04-06,2199
2022-04-07,1837
2022-04-08,1641
2022-04-09,1134
2022-04-10,1348
2022-04-11,2255
2022-04-12,1773
2022-04-13,1718
2022-04-14,1402
2022-04-15,787
2022-04-16,851
2022-04-17,941
2022-04-18,1225
2022-04-19,2089
2022-04-20,1424
2022-04-21,1317
2022-04-22,1026
2022-04-23,644
2022-04-24,690
2022-04-25,1227
2022-04-26,1016
2022-04-27,978
2022-04-28,853
2022-04-29,787
2022-04-30,497
2022-05-01,549
2022-05-02,1081
2022-05-03,914
2022-05-04,915
2022-05-05,860
2022-05-06,759
2022-05-07,435
2022-05-08,495
2022-05-09,977
2022-05-10,713
2022-05-11,734
2022-05-12,624
2022-05-13,529
2022-05-14,344
2022-05-15,375
2022-05-16,652
2022-05-17,583
2022-05-18,624
2022-05-19,484
2022-05-20,493
2022-05-21,319
2022-05-22,330
2022-05-23,684
2022-05-24,548
2022-05-25,617
2022-05-26,358
2022-05-27,612
2022-05-28,356
2022-05-29,428
2022-05-30,820
2022-05-31,582
2022-06-01,678
2022-06-02,572
2022-06-03,579
2022-06-04,375
2022-06-05,396
2022-06-06,860
2022-06-07,715
2022-06-08,763
2022-06-09,670
2022-06-10,626
2022-06-11,451
2022-06-12,352
2022-06-13,903
2022-06-14,718
2022-06-15,778
2022-06-16,672
2022-06-17,616
2022-06-18,419
2022-06-19,386
2022-06-20,1004
2022-06-21,853
2022-06-22,954
2022-06-23,795
2022-06-24,286
2022-06-25,263
2022-06-26,323
2022-06-27,1536
2022-06-28,884
2022-06-29,766
2022-06-30,621
2022-07-01,558
2022-07-02,330
2022-07-03,295
2022-07-04,829
2022-07-05,744
2022-07-06,790
2022-07-07,706
2022-07-08,672
2022-07-09,425
2022-07-10,395
2022-07-11,1027
2022-07-12,829
2022-07-13,867
2022-07-14,803
2022-07-15,767
2022-07-16,483
2022-07-17,400
2022-07-18,1070
2022-07-19,1013
2022-07-20,921
2022-07-21,937
2022-07-22,875
2022-07-23,559
2022-07-24,479
2022-07-25,1347
2022-07-26,940
2022-07-27,931
2022-07-28,773
2022-07-29,682
2022-07-30,460
2022-07-31,386
2022-08-01,1092
2022-08-02,848
2022-08-03,858
2022-08-04,762
2022-08-05,590
2022-08-06,338
2022-08-07,330
2022-08-08,862
2022-08-09,687
2022-08-10,614
2022-08-11,569
2022-08-12,508
2022-08-13,340
2022-08-14,249
2022-08-15,774
2022-08-16,575
2022-08-17,506
2022-08-18,463
2022-08-19,368
2022-08-20,226
2022-08-21,187
2022-08-22,590
2022-08-23,392
2022-08-24,367
2022-08-25,310
2022-08-26,284
2022-08-27,179
2022-08-28,144
2022-08-29,457
2022-08-30,301
2022-08-31,274
2022-09-01,226
2022-09-02,213
2022-09-03,135
2022-09-04,175
2022-09-05,381
2022-09-06,301
2022-09-07,3
2022-09-08,0
